File_Record_0052.rec ( 4370 Samples/channels ) Sample Rate :1s
Date :5/20/2026 10:16:45 AM
Time;Voie A1[°C];Voie A2[°C];Voie A3[°C];
404000.000000;38.39111;51.69678;52.44446;
405000.000000;38.60474;51.83411;52.52075;
406000.000000;38.34534;51.87988;52.26135;
407000.000000;38.45215;52.09351;52.10876;
408000.000000;38.80310;52.00195;52.09351;
409000.000000;38.78784;52.35291;51.95618;
410000.000000;38.63525;51.97144;51.95618;
411000.000000;38.31482;51.72729;51.77307;
412000.000000;38.65051;51.91040;51.65100;
413000.000000;38.28430;52.16980;51.60522;
414000.000000;38.48267;52.16980;51.43738;
415000.000000;38.48267;52.42920;51.71204;
416000.000000;38.39111;52.36816;51.34583;
417000.000000;38.37585;52.47498;51.68152;
418000.000000;38.57422;52.52075;51.42212;
419000.000000;38.39111;52.39868;51.46790;
420000.000000;38.34534;52.58179;51.48315;
421000.000000;38.23853;52.82593;51.77307;
422000.000000;38.19275;52.81067;51.37634;
423000.000000;38.10120;52.96326;51.60522;
424000.000000;38.37585;53.26843;51.89514;
425000.000000;38.16223;53.29895;52.33765;
426000.000000;38.42163;53.23792;52.35291;
427000.000000;38.60474;53.29895;52.78015;
428000.000000;38.58948;53.20740;52.59705;
429000.000000;38.42163;53.34473;52.78015;
430000.000000;38.68103;53.22266;52.81067;
431000.000000;38.87939;53.19214;53.00903;
432000.000000;39.04724;53.37524;53.16162;
433000.000000;39.00146;53.57361;52.96326;
434000.000000;38.94043;53.11584;53.20740;
435000.000000;38.84888;53.07007;53.29895;
436000.000000;38.98621;52.96326;53.49731;
437000.000000;39.18457;52.91748;53.80249;
438000.000000;39.26086;52.73438;53.55835;
439000.000000;39.07776;52.65808;54.03137;
440000.000000;39.15405;52.61230;54.19922;
441000.000000;38.86414;52.26135;53.86353;
442000.000000;38.84888;52.10876;53.63464;
443000.000000;38.75732;52.26135;53.51257;
444000.000000;38.83362;52.38342;53.66516;
445000.000000;38.75732;52.18506;53.48206;
446000.000000;38.89465;52.12402;53.16162;
447000.000000;38.86414;52.27661;53.58887;
448000.000000;38.72681;52.64282;53.35999;
449000.000000;38.78784;52.79541;53.40576;
450000.000000;38.65051;52.96326;53.23792;
451000.000000;39.10828;52.84119;52.96326;
452000.000000;38.94043;52.82593;52.99377;
453000.000000;39.04724;52.91748;53.00903;
454000.000000;39.41345;52.82593;52.91748;
455000.000000;39.01672;52.65808;52.84119;
456000.000000;39.04724;52.50549;52.65808;
457000.000000;38.84888;52.12402;52.53601;
458000.000000;38.60474;51.98669;52.74963;
459000.000000;38.46741;51.94092;52.38342;
460000.000000;38.26904;51.55945;52.61230;
461000.000000;38.25378;51.36108;52.21558;
462000.000000;38.08594;51.28479;51.97144;
463000.000000;37.87231;51.11694;52.07825;
464000.000000;37.44507;51.14746;51.98669;
465000.000000;37.09412;51.08643;52.13928;
466000.000000;37.65869;50.96436;52.20032;
467000.000000;37.68921;50.90332;52.10876;
468000.000000;37.52136;51.25427;52.09351;
469000.000000;37.47559;50.87280;52.23083;
470000.000000;37.17041;51.13220;52.41394;
471000.000000;37.18567;50.85754;52.30713;
472000.000000;37.26196;50.85754;52.33765;
473000.000000;37.20093;50.76599;52.24609;
474000.000000;37.90283;50.61340;52.27661;
475000.000000;37.55188;50.59814;52.15454;
476000.000000;37.52136;50.84229;52.27661;
477000.000000;37.33826;50.88806;52.29187;
478000.000000;37.49084;50.93384;52.50549;
479000.000000;37.47559;50.75073;52.26135;
480000.000000;37.38403;50.85754;52.35291;
481000.000000;37.56714;50.90332;52.23083;
482000.000000;37.59766;51.04065;52.21558;
483000.000000;37.73499;50.88806;52.12402;
484000.000000;37.49084;50.96436;52.03247;
485000.000000;37.36877;50.97961;52.23083;
486000.000000;37.32300;50.88806;52.68860;
487000.000000;37.33826;50.67444;52.71912;
488000.000000;37.49084;50.87280;52.38342;
489000.000000;37.44507;50.76599;52.39868;
490000.000000;37.30774;50.64392;52.36816;
491000.000000;37.21619;50.84229;52.39868;
492000.000000;37.30774;51.07117;52.45972;
493000.000000;37.90283;51.02539;52.56653;
494000.000000;37.46033;50.87280;52.49023;
495000.000000;37.39929;50.62866;52.49023;
496000.000000;37.49084;50.79651;52.42920;
497000.000000;37.27722;50.78125;52.42920;
498000.000000;37.47559;50.52185;52.09351;
499000.000000;37.35352;50.47607;52.12402;
500000.000000;37.18567;50.55237;52.33765;
501000.000000;37.26196;50.76599;52.26135;
502000.000000;37.29248;50.55237;52.32239;
503000.000000;37.39929;50.44556;52.52075;
504000.000000;37.12463;50.67444;52.42920;
505000.000000;37.36877;50.82703;52.42920;
506000.000000;37.59766;50.53711;52.29187;
507000.000000;37.46033;50.41504;52.82593;
508000.000000;37.46033;50.59814;52.97852;
509000.000000;37.84180;50.81177;52.65808;
510000.000000;37.59766;50.50659;53.17688;
511000.000000;37.58240;50.82703;52.84119;
512000.000000;37.62817;50.84229;53.07007;
513000.000000;37.71973;51.13220;52.90222;
514000.000000;37.53662;51.28479;52.81067;
515000.000000;37.46033;51.34583;53.19214;
516000.000000;37.53662;51.08643;53.46680;
517000.000000;37.68921;51.31531;53.32947;
518000.000000;37.75024;51.33057;53.66516;
519000.000000;37.78076;51.22375;53.55835;
520000.000000;38.04016;51.13220;53.64990;
521000.000000;37.91809;51.42212;53.72620;
522000.000000;38.11646;51.30005;53.86353;
523000.000000;38.23853;51.39160;53.92456;
524000.000000;38.39111;51.51367;54.09241;
525000.000000;38.29956;51.42212;54.39758;
526000.000000;38.80310;51.49841;54.51965;
527000.000000;38.60474;51.77307;54.39758;
528000.000000;38.60474;51.91040;54.48914;
529000.000000;38.63525;51.65100;54.70276;
530000.000000;38.75732;51.69678;54.44336;
531000.000000;38.74207;51.92566;54.55017;
532000.000000;38.52844;51.97144;54.35181;
533000.000000;38.49792;51.84937;54.79431;
534000.000000;38.51318;51.33057;54.32129;
535000.000000;38.14697;51.22375;54.04663;
536000.000000;38.04016;51.11694;53.75671;
537000.000000;37.88757;50.90332;53.89404;
538000.000000;37.96387;50.82703;53.43628;
539000.000000;37.79602;50.82703;53.26843;
540000.000000;37.78076;50.70496;53.20740;
541000.000000;38.02490;50.64392;53.49731;
542000.000000;37.84180;50.96436;53.34473;
543000.000000;37.93335;51.10168;53.55835;
544000.000000;37.87231;51.25427;53.51257;
545000.000000;37.96387;51.10168;53.72620;
546000.000000;38.20801;51.05591;53.55835;
547000.000000;37.64343;50.99487;53.48206;
548000.000000;37.78076;50.97961;53.72620;
549000.000000;37.93335;50.78125;53.51257;
550000.000000;37.94861;50.85754;53.58887;
551000.000000;37.75024;51.42212;53.55835;
552000.000000;38.13171;51.55945;53.08533;
553000.000000;37.94861;51.68152;52.84119;
554000.000000;38.13171;51.63574;52.85645;
555000.000000;38.13171;51.63574;52.84119;
556000.000000;37.91809;51.55945;52.64282;
557000.000000;38.29956;51.10168;52.76489;
558000.000000;38.16223;51.34583;53.03955;
559000.000000;38.39111;51.33057;53.37524;
560000.000000;38.51318;51.80359;53.23792;
561000.000000;38.68103;52.00195;53.25317;
562000.000000;39.09302;51.84937;53.19214;
563000.000000;38.74207;51.86462;52.71912;
564000.000000;38.62000;51.71204;52.78015;
565000.000000;38.51318;51.71204;52.47498;
566000.000000;38.10120;51.57471;52.79541;
567000.000000;37.91809;51.08643;52.56653;
568000.000000;38.11646;50.99487;52.52075;
569000.000000;37.79602;50.88806;52.73438;
570000.000000;37.96387;51.01013;52.18506;
571000.000000;38.08594;50.78125;52.53601;
572000.000000;37.65869;51.26953;52.65808;
573000.000000;37.78076;51.65100;52.35291;
574000.000000;37.79602;51.55945;52.23083;
575000.000000;37.62817;51.65100;52.45972;
576000.000000;37.64343;51.87988;52.58179;
577000.000000;37.65869;52.20032;52.55127;
578000.000000;37.75024;52.20032;52.90222;
579000.000000;37.53662;52.03247;52.91748;
580000.000000;37.35352;52.47498;52.45972;
581000.000000;37.62817;52.24609;52.23083;
582000.000000;37.59766;52.13928;52.07825;
583000.000000;37.41455;52.38342;52.12402;
584000.000000;37.53662;52.12402;52.41394;
585000.000000;37.81128;52.30713;52.06299;
586000.000000;38.02490;52.29187;52.10876;
587000.000000;37.39929;52.56653;52.26135;
588000.000000;37.41455;52.52075;51.97144;
589000.000000;37.17041;52.30713;52.35291;
590000.000000;37.17041;52.61230;52.30713;
591000.000000;37.06360;52.65808;52.06299;
592000.000000;36.81946;52.84119;52.16980;
593000.000000;37.27722;52.44446;52.10876;
594000.000000;37.30774;53.02429;51.87988;
595000.000000;37.42981;52.85645;52.13928;
596000.000000;37.71973;52.84119;51.94092;
597000.000000;38.07068;52.96326;51.75781;
598000.000000;38.36060;52.96326;51.63574;
599000.000000;37.61292;53.19214;51.77307;
600000.000000;37.46033;52.96326;51.97144;
601000.000000;37.47559;53.02429;51.83411;
602000.000000;36.98730;53.00903;51.89514;
603000.000000;36.77368;52.97852;51.86462;
604000.000000;36.78894;52.82593;51.72729;
605000.000000;37.01782;52.91748;51.17798;
606000.000000;36.84998;52.91748;51.31531;
607000.000000;36.71265;52.84119;51.08643;
608000.000000;36.37695;52.78015;51.08643;
609000.000000;36.45325;52.55127;51.04065;
610000.000000;36.56006;52.64282;50.81177;
611000.000000;36.43799;52.79541;50.73547;
612000.000000;36.54480;52.61230;50.68970;
613000.000000;36.40747;52.78015;50.58289;
614000.000000;36.40747;52.78015;50.61340;
